Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,11,,20,295.240,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,295.260,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,295.355,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,296.205,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,297.675,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,306.205,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,308.210,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,308.230,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,308.305,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,310.040,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,310.080,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,310.120,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,311.465,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,320.040,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,320.800,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,320.821,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,321.130,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,322.605,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,324.045,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,329.115,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,329.160,4,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,329.340,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,329.685,4,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,330.685,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,330.765,4,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,332.605,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,334.845,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,334.910,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,334.965,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,336.230,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,338.295,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,338.315,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,338.475,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,339.565,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,340.416,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,349.565,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,351.180,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,351.595,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,351.615,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,352.100,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,353.715,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,353.735,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,353.935,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,355.005,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,356.055,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,361.280,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,361.450,4,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,361.540,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,361.580,4,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,363.165,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,363.420,4,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,365.005,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,366.535,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,366.555,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,366.730,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,367.811,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,367.905,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,369.050,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,377.815,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,381.490,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,381.510,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,381.615,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,382.495,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,383.550,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,390.915,4,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,391.150,4,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,11,,20,392.495,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,402.200,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,402.220,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,402.270,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,403.210,3,4,4,0,0,0,1,0,0,0,0
