Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,3,,2,334.815,4,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,334.855,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,336.415,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,336.430,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,336.470,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,336.480,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,337.285,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,337.350,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,341.520,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,342.290,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,345.185,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,345.356,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,345.395,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,345.441,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,345.520,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,345.635,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,347.340,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,353.015,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,355.030,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,357.080,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,357.100,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,358.790,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,358.810,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,359.260,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,359.285,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,360.980,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,361.410,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,361.445,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,362.110,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,362.550,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,362.555,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,362.720,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,366.030,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,368.225,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,368.285,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,368.495,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,374.470,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,374.720,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,375.400,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,377.230,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,382.880,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,384.210,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,384.470,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,389.500,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,390.685,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,397.155,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,397.390,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,400.400,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,400.420,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,400.730,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,402.330,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,402.380,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,402.485,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,403.100,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,410.110,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,410.655,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,412.330,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,431.795,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,431.815,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,433.995,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,434.010,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,434.055,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,434.070,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,434.350,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,434.710,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,435.390,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,440.765,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,441.195,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,448.380,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,449.015,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,450.765,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,472.345,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,472.541,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,475.985,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,476.005,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,476.490,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,481.300,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,481.465,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,491.300,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,492.925,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,493.110,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,493.145,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,493.440,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,493.510,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,493.545,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,493.905,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,493.945,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,493.965,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,494.650,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,494.725,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,495.050,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,495.085,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,495.120,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,495.341,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,496.785,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,505.250,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,505.365,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,505.510,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,506.335,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,512.860,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,512.895,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,512.915,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,513.605,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,513.735,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,514.715,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,549.645,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,549.920,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,549.920,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,550.315,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,584.890,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,584.910,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,586.845,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,587.050,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,587.130,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,587.195,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,589.395,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,589.630,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,589.755,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,589.790,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,595.855,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,3,,2,604.605,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,605.510,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,614.605,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,617.870,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,619.041,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,626.185,1,0,0,0,1,0,0,0,0,0,0
,,FR1-cued-R,,3,,2,626.445,1,0,0,0,0,0,0,0,1,0,0
,,FR1-cued-R,,3,,2,641.000,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,641.235,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,645.285,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,648.800,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,649.420,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,649.685,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,3,,2,649.975,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,3,,2,655.155,1,2,1,1,0,0,0,0,0,0,0
